,Title,Developer,Publisher,First released,JP,EU/PAL,NA
20,1945 I & II The Arcade Games,Psikyo,Play It!,2004-07-16JP,Released,Released,Unreleased
21,2002 FIFA World Cup,EA Canada,EA Sports,2002-04-22NA,Released,Released,Released
22,2003-Toshi Kaimaku - Ganbare Kyuukaiou,Magical Company,Atlus Co.,2003-05-15JP,Released,Unreleased,Unreleased
23,21 Card Games,Mere Mortals,Phoenix Games,2006-07-28PAL,Unreleased,Released,Unreleased
24,24: The Game,SCE Studio Cambridge,2K Games,2006-02-28NA,Unreleased,Released,Released
25,25 to Life,Avalanche Software,Eidos Interactive,2006-01-17NA,Unreleased,Released,Released
26,2nd Super Robot Wars Alpha,Banpresto,Banpresto,2003-03-27JP,Released,Unreleased,Unreleased
27,3-Nen B-Gumi Kinpachi Sensei Densetsu no Kyoudan ni Tate,Chunsoft,Chunsoft,2004-06-24JP,Released,Unreleased,Unreleased
28,3LDK - Shiawase ni Narouyo,PrincessSoft,PrincessSoft,2004-07-01JP,Released,Unreleased,Unreleased
29,3rd Super Robot Wars Alpha,Banpresto,Banpresto,2005-07-28JP,Released,Unreleased,Unreleased
30,4x4 EVO,Terminal Reality,Gathering of Developers,2001-02-26NA,Unreleased,Released,Released
31,4x4 EVO 2,Terminal Reality,BAM! Entertainment,2002-11-04PAL,Unreleased,Released,Unreleased
32,50 Cent: Bulletproof,Genuine Games,Vivendi Universal Games,2005-11-17NA,Unreleased,Released,Released
33,7 Blades Seven,Konami,Konami,2000-12-21JP,Released,Released,Unreleased
34,7 Sins,Monte Cristo Multimedia,Digital Jesters,2005-05-20PAL,Unreleased,Released,Unreleased
35,7 Wonders of the Ancient World,MumboJumbo,MumboJumbo,2007-11-20NA,Unreleased,Released,Released
36,A-Ressha de Ikou 2001,Artdink,Artdink,2001-03-08JP,Released,Unreleased,Unreleased
37,A-Ressha de Ikou 2001 Perfect Set,Artdink,Artdink,2002-01-01JP,Released,Unreleased,Unreleased
38,A.C.E.: Another Century's Episode,FromSoftware,Banpresto,2005-01-27JP,Released,Unreleased,Unreleased
39,A.C.E.: Another Century's Episode 2,FromSoftware,Banpresto,2006-03-30JP,Released,Unreleased,Unreleased
40,A.C.E.: Another Century's Episode 2 (Special Vocal Version),FromSoftware,Banpresto,2007-11-29JP,Released,Unreleased,Unreleased
41,A.C.E.: Another Century's Episode 3: The Final,FromSoftware,Banpresto,2007-09-06JP,Released,Unreleased,Unreleased
42,Aa Megami-sama,Marvelous,Marvelous,2007-02-22JP,Released,Unreleased,Unreleased
43,Abarenbou Princess,Kadokawa Games,Kadokawa Games,2001-11-29JP,Released,Unreleased,Unreleased
44,AC/DC Live: Rock Band Track Pack,Harmonix Music Systems,MTV Games,2008-11-02NA,Unreleased,Released,Released
45,Ace Combat 04: Shattered Skies Ace Combat,Namco,Namco,2001-11-01NA,Released,Released,Released
46,Ace Combat 5: The Unsung War Ace Combat,Namco,Namco,2004-10-25NA,Released,Released,Released
47,Ace Combat Zero: The Belkan War Ace Combat,Namco,Namco,2006-04-25NA,Released,Released,Released
48,Ace Lightning,Absolute Studios,Gamezlab,2003-03-14EU,Unreleased,Released,Unreleased
49,Aces of War,Marionette,"TaitoJP, 505 Game Street",2004-03-04JP,Released,Released,Unreleased
50,Action Girlz Racing,Data Design Interactive,Metro3D,2005-09-15EU,Unreleased,Released,Unreleased
51,Action Man A..TO.M.: Alpha Teens on Machines,Brain in a Jar,Blast! Entertainment Ltd,2007-05-25PAL,Unreleased,Released,Unreleased
52,Activision Anthology,Contraband Entertainment,Activision,2002-11-19NA,Unreleased,Released,Released
53,Adiboo and the Energy Thieves,Coktel Studio,Vivendi Universal Games,2004-09-24PAL,Unreleased,Released,Unreleased
54,ADK Damashii,SNK Playmore,SNK Playmore,2008-12-18JP,Released,Unreleased,Unreleased
55,Adventure of Tokyo Disney Sea,Konami,Konami,2001-12-20JP,Released,Unreleased,Unreleased
56,The Adventures of Cookie & Cream,FromSoftware,Agetec Inc.,2001-04-30NA,Released,Released,Released
57,The Adventures of Darwin Simple 2000 Series,Vingt-et-un Systems,D3 Publisher,2006-04-27JP,Released,Released,Released
58,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,THQ,THQ,2004-09-13NA,Unreleased,Released,Released
59,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,THQ,THQ,2003-09-16NA,Unreleased,Released,Released
60,Æon Flux,Terminal Reality,Majesco Entertainment,2005-11-15NA,Unreleased,Released,Released
61,Aero Elite: Combat Academy?Aero Dancing 4,Sega-AM2,Sega,2003-03-10NA,Released,Unreleased,Released
62,Aerobics Revolution,Konami,Konami,2003-03-13JP,Released,Unreleased,Unreleased
63,AFL Live 2003,IR Gurus,Acclaim Entertainment,2002-09-05AU,Unreleased,Released,Unreleased
64,AFL Live 2004,IR Gurus,Acclaim Entertainment,2003-11-21AU,Unreleased,Released,Unreleased
65,AFL Live Premiership Edition,IR Gurus,Acclaim Entertainment,2004-04-29AU,Unreleased,Released,Unreleased
66,AFL Premiership 2005,IR Gurus,SCE AustraliaAU,2005-09-22AU,Unreleased,Released,Unreleased
67,AFL Premiership 2006,IR Gurus,SCE AustraliaAU,2006-07-20AU,Unreleased,Released,Unreleased
68,AFL Premiership 2007,IR Gurus,SCE AustraliaAU,2007-06-28AU,Unreleased,Released,Unreleased
69,After...,Pionesoft,Pionesoft,2004-02-26JP,Released,Unreleased,Unreleased
70,Agassi Tennis Generation,Aqua Pacific,DreamCatcher Interactive,2003-08-25NA,Unreleased,Released,Released
71,Age of Empires II: The Age of Kings,Ensemble Studios,Konami,2001-11-02EU,Released,Released,Unreleased
72,Agent Hugo,ITE Media,ITE Media,2005-10-12PAL,Unreleased,Released,Unreleased
73,Agent Hugo: Hula Holiday,Attractive Games,NDS Software,2008-10-06RU,Unreleased,Released,Unreleased
74,Agent Hugo: Lemoon Twist,Coyote Console,ITE Media,2007-11-05PAL,Unreleased,Released,Unreleased
75,Agent Hugo: Roborumble,ITE Media,ITE Media,2006-10-06PAL,Unreleased,Released,Unreleased
76,Aggressive Inline,Z-Axis,AKA Acclaim,2002-05-28NA,Unreleased,Released,Released
77,AI Igo 2003,GeneX,GeneX,2003-04-24JP,Released,Unreleased,Unreleased
78,AI Mahjong 2003,GeneX,GeneX,2003-04-24JP,Released,Unreleased,Unreleased
79,AI Shogi 2003,GeneX,GeneX,2003-04-24JP,Released,Unreleased,Unreleased
80,Ai Yori Aoshi,KID,KID,2003-03-20JP,Released,Unreleased,Unreleased
81,Aikagi,NEC Interchannel,NEC Interchannel,2003-09-25JP,Released,Unreleased,Unreleased
82,Air,NEC Interchannel,NEC Interchannel,2002-08-08JP,Released,Unreleased,Unreleased
83,Air Raid 3,Phoenix Games,Phoenix Games,2004PAL,Unreleased,Released,Unreleased
84,Air Ranger: Rescue Helicopter,ASK,ASKJP Midas Interactive EntertainmentEU,2001-03-29JP,Released,Released,Unreleased
85,Air Ranger 2: Rescue Helicopter,ASK,ASK,2002-03-28JP,Released,Unreleased,Unreleased
86,Air Ranger 2 Plus: Rescue Helicopter,ASK,ASK,2003-10-30JP,Released,Unreleased,Unreleased
87,AirBlade,Criterion Games,Namco,2001-11-09EU,Unreleased,Released,Released
88,Airborne Troops: Countdown to D-Day,WideScreen Games,Mud Duck Productions,2005-01-07NA,Unreleased,Released,Released
89,Airforce Delta Strike,KCE Studios,Konami,2004-02-03NA,Released,Released,Released
90,The Aka-Champion,Expotato,"D3 Publisher, SCE KoreaKO",2005-12-29JP,Released,Unreleased,Unreleased
91,Akagi: Yami ni Furitatta Tensai,Warashi,D3 Publisher,2002-12-12JP,Released,Unreleased,Unreleased
92,Akai Ito,Success Corporation,Success Corporation,2004-10-21JP,Released,Unreleased,Unreleased
93,Akane Iro ni Somaru Saka: Parallel,Feng,GN Software,2008-08-14JP,Released,Unreleased,Unreleased
94,Akira Psycho Ball,KAZe,Bandai,2002-02-17PAL,Released,Released,Unreleased
95,Akudaikan,Global A,Global A,2002-08-08JP,Released,Unreleased,Unreleased
96,Akudaikan 2: Mousouden,Global A,Global A,2003-07-31JP,Released,Unreleased,Unreleased
97,Akudaikan 3,Global A,Global A,2007-03-01JP,Released,Unreleased,Unreleased
98,Alan Hansen's Sports Challenge,The Code Monkeys,Oxygen Interactive,2007-10-26PAL,Unreleased,Released,Unreleased
99,Alarm for Cobra 11 Vol. 2: Hot Pursuit,Davilex,Midas Interactive Entertainment,2005-06-10EU,Unreleased,Released,Unreleased
100,Alex Ferguson's Player Manager 2001,Anco Software,"3DO, Ubisoft",2001-09-21PAL,Unreleased,Released,Unreleased
101,Alfa Romeo Racing Italiano,Milestone,Valcon Games,2005-06-24EU,Unreleased,Released,Released
102,Alias,Acclaim Studios Cheltenham,Acclaim Entertainment,2004-04-05NA,Unreleased,Released,Released
103,Alien Hominid,The Behemoth,"O3 Entertainment, Zoo Digital PublishingEU",2004-11-21NA,Unreleased,Released,Released
104,Aliens in the Attic,Revistronic,Playlogic,2009-08-04AU,Unreleased,Released,Released
105,Aliens Versus Predator: Extinction,Zono,Electronic Arts,2003-07-30NA,Unreleased,Released,Released
106,All Star Fighters,D3 Publisher,"D3 PublisherJP, Essential GamesPAL",2005-12-15JP,Released,Released,Unreleased
107,All Star Pro-Wrestling,Square,Square,2000-06-08JP,Released,Unreleased,Unreleased
108,All Star Pro-Wrestling II,Square,Square,2001-11-22JP,Released,Unreleased,Unreleased
109,All Star Pro-Wrestling III,Square,Square,2003-08-07JP,Released,Unreleased,Unreleased
110,All-Star Baseball 2002,Acclaim Studios Austin,Acclaim Entertainment,2001-03-12NA,Released,Released,Released
111,All-Star Baseball 2003,Acclaim Studios Austin,Acclaim Entertainment,2002-02-26NA,Released,Released,Released
112,All-Star Baseball 2004,Acclaim Studios Austin,Acclaim Entertainment,2003-03-01NA,Unreleased,Released,Released
113,All-Star Baseball 2005,Acclaim Studios Austin,Acclaim Entertainment,2004-04-08NA,Unreleased,Unreleased,Released
114,Alone in the Dark,Hydravision Entertainment,Atari,2008-06-20EU,Unreleased,Released,Released
115,Alone in the Dark: The New Nightmare,Spiral House,Infogrames,2001-09-28PAL,Unreleased,Released,Unreleased
116,Alpine Racer 3,Namco,"NamcoJP, Sony Computer EntertainmentEU",2002-03-28JP,Released,Released,Unreleased
117,Alpine Ski Racing 2007,49Games,RTL PlaytainmentJoWooD Productions,2006-12-04PAL,Unreleased,Released,Unreleased
118,Alpine Skiing 2005,49Games,RTL PlaytainmentMidas Interactive Entertainment,2005-06-10PAL,Unreleased,Released,Unreleased
119,Alter Echo,Outrage Games,THQ,2003-08-19NA,Unreleased,Released,Released
120,Altered Beast,Wow Entertainment,Sega,"2005-01-27JP,KO",Released,Released,Unreleased
121,Alvin and the Chipmunks,Brash Entertainment,Brash Entertainment,2007-12-04NA,Unreleased,Released,Released
122,Amagami,Enterbrain,Enterbrain,2009-03-19JP,Released,Unreleased,Unreleased
123,Amagoushi no Yakata,Fog,Nippon Ichi Software,2007-03-08JP,Released,Unreleased,Unreleased
124,America Oudan Ultra-Quiz,DigiCube,DigiCube,2002-03-28JP,Released,Unreleased,Unreleased
125,American Chopper,Creat Studio,"Activision Value, Zoo Digital PublishingEU",2004-11-25NA,Unreleased,Released,Released
126,American Chopper 2: Full Throttle,Creat Studio,"Activision, Zoo Digital PublishingEU, Activisi...",2005-11-20NA,Unreleased,Released,Released
127,American Idol,Hothouse Creations,Codemasters,2003-11-07EU,Unreleased,Released,Released
128,American Pool II,Phoenix Games,Phoenix Games,2007-03-09PAL,Unreleased,Released,Unreleased
129,AMF Xtreme Bowling,Mud Duck Productions,"Mud Duck Productions, MastertronicEU",2006-06-13NA,Unreleased,Released,Released
130,Amplitude,Harmonix Music Systems,Sony Computer Entertainment,2003-03-24NA,Unreleased,Released,Released
131,An American Tail,Data Design Interactive,Blast! Entertainment Ltd,2007-07-12AU,Unreleased,Released,Unreleased
132,AND 1 Streetball,Black Ops Entertainment,Ubisoft,2006-06-06NA,Unreleased,Released,Released
133,Angel Profile,GeneX,CyberFront,2007-09-27JP,Released,Unreleased,Unreleased
134,Angel Wish: Kimi no Egao ni Chu!,Pionesoft,Pionesoft,2005-02-24JP,Released,Unreleased,Unreleased
135,Angel's Feather,KID,KID,2004-03-11JP,Released,Unreleased,Unreleased
136,Angel's Feather: Kuro no Zanei,Blue Impact,GN Software,2005-06-30JP,Released,Unreleased,Unreleased
137,Angelic Concert,Success Corporation,Success Corporation,2003-03-13JP,Released,Unreleased,Unreleased
138,Angelique Etoile,Koei,Koei,2004-09-16JP,Released,Unreleased,Unreleased
139,Angelique Trois,Koei/Inis,Koei,2000-11-22JP,Released,Unreleased,Unreleased
140,Angelique Trois: Aizouhen,Koei/Inis,Koei,2001-07-26JP,Released,Unreleased,Unreleased
141,Animal Soccer World,The Code Monkeys,Phoenix Games,2005PAL,Unreleased,Released,Unreleased
142,Animaniacs: The Great Edgar Hunt,Warthog,Ignition Entertainment,2005-06-24PAL,Unreleased,Released,Unreleased
143,Anime Eikaiwa: 15 Shounen Hyouryuuhen,Success Corporation,Success Corporation,2001-08-30JP,Released,Unreleased,Unreleased
144,Anime Eikaiwa: Tondemo Nezumi Daikatsuyaku,Success Corporation,Success Corporation,2001-08-30JP,Released,Unreleased,Unreleased
145,Anime Eikaiwa: Totoi,Success Corporation,Success Corporation,2001-08-30JP,Released,Unreleased,Unreleased
146,The Ant Bully,Artificial Mind and Movement,Midway Games,2006-07-24NA,Unreleased,Released,Released
147,Antz Extreme Racing,Supersonic Software,Empire Interactive,2002-07-26EU,Unreleased,Released,Released
148,Anubis II,Data Design Interactive,Metro 3D,2005-07-14PAL,Unreleased,Released,Unreleased
149,Anya Nisasayaku,Idea Factory,Idea Factory,2006-02-09JP,Released,Unreleased,Unreleased
150,Aoi no Mamade...,Idea Factory,Idea Factory,2004-10-28JP,Released,Unreleased,Unreleased
151,Aoi Sora no Neosphere,Kogado Studio,Nippon Ichi Software,2007-02-22JP,Released,Unreleased,Unreleased
152,Aoi Umi no Tristia,Kogado Studio,Nippon Ichi Software,2005-08-11JP,Released,Unreleased,Unreleased
153,Aoishiro,Success Corporation,Success Corporation,2008-05-15JP,Released,Unreleased,Unreleased
154,Aoitenryuu: The Arcade,DigiCube,DigiCube,2003-03-27JP,Released,Unreleased,Unreleased
155,Ape Escape 2,Sony Computer Entertainment,"Sony Computer Entertainment, UbisoftNA",2002-07-18JP,Released,Released,Released
156,Ape Escape 3,Sony Computer Entertainment,Sony Computer Entertainment,2005-07-12AS,Released,Released,Released
157,Ape Escape: Pumped & Primed,Japan Studio,"Sony Computer EntertainmentJP, UbisoftNA",2004-07-01JP,Released,Unreleased,Released
158,Apocripha/0,GN Software,GN Software,2004-10-28JP,Released,Unreleased,Unreleased
159,Appleseed EX,DreamFactory,Sega,2007-02-15JP,Released,Unreleased,Unreleased
160,Aqua Aqua,Zed Two Limited,"ImagineerJP, 3DOEU,NA",2000-11-02JP,Released,Released,Released
161,Aqua Kids,Cinepix,Yuke's,2004-08-12JP,Released,Unreleased,Unreleased
162,Aqua Teen Hunger Force Zombie Ninja Pro-Am,Creat Studio,Midway Games,2007-11-05NA,Unreleased,Released,Released
163,Ar tonelico: Melody of Elemia,Gust,"BanprestoJP, NIS AmericaNA, 505 GamesEU",2006-01-26JP,Released,Released,Released
164,Ar tonelico II: Melody of Metafalica,Gust,"BanprestoJP, NIS AmericaNA,EU",2007-10-25JP,Released,Released,Released
165,Arabians Lost: The Engagement on Desert,QuinRose,"Prototype, QuinRose",2007-10-11JP,Released,Unreleased,Unreleased
166,Arc the Lad: End of Darkness,Cattle Call,"Sony Computer EntertainmentJP, NamcoNA",2004-11-03JP,Released,Unreleased,Released
167,Arc the Lad: Twilight of the Spirits,Cattle Call,Sony Computer Entertainment,2003-03-20JP,Released,Released,Released
168,Arcade Action: 30 Games,SG Diffusion,Phoenix Games,2004-11-19PAL,Unreleased,Released,Unreleased
169,Arcade Classics Volume One,Play It!,Play It!,2006-04-21PAL,Unreleased,Released,Unreleased
170,Arcade USA,Mere Mortals,Phoenix Games,2006-04-21AU,Unreleased,Released,Unreleased
171,Arcana Heart,Konami Examu Entertainment inc.,"AQ InteractiveJP, AtlusUS",2007-10-11JP,Released,Unreleased,Released
172,Arcobaleno!,Idea Factory,Idea Factory,2009-05-14JP,Released,Unreleased,Unreleased
173,Arctic Thunder,Inland Productions,Midway Games,2001-09-17NA,Unreleased,Released,Released
174,Are You Smarter Than a 5th Grader: Make the Grade,ImaginEngine,THQ,2008-10-20NA,Unreleased,Unreleased,Released
175,Area 51,Midway Studios Austin,"Midway GamesNA,PAL, Success CorporationJP",2005-04-25NA,Released,Released,Released
176,Arena Football,EA Tiburon,EA Sports,2006-02-07NA,Unreleased,Unreleased,Released
177,Arena Football: Road to Glory,Budcat,EA Sports,2007-02-20NA,Unreleased,Unreleased,Released
178,Aria: The Natural ~Tooi Yume no Mirage~,Regista,Alchemist,2006-09-28JP,Released,Unreleased,Unreleased
179,Aria: The Origination ~Aoi Hoshi no El Cielo~,Regista,Alchemist,2008-06-26JP,Released,Unreleased,Unreleased
180,Armen Noir,Otomate,Idea Factory,2010-12-09JP,Released,Unreleased,Unreleased
181,Armored Core: Formula Front,FromSoftware,FromSoftware,2005-03-03JP,Released,Unreleased,Unreleased
182,Armored Core: Last Raven,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, 505 GamesPAL",2005-08-04JP,Released,Released,Released
183,Armored Core: Nexus,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Indie GamesEU",2004-03-18JP,Released,Released,Released
184,Armored Core: Nine Breaker,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, 505 GamesEU",2004-10-28JP,Released,Released,Released
185,Armored Core 2,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, UbisoftEU",2000-08-03JP,Released,Released,Released
186,Armored Core 2: Another Age,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Metro3DEU",2001-04-12JP,Released,Released,Released
187,Armored Core 3,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Metro3DEU",2002-04-04JP,Released,Released,Released
188,Army Men: Air Attack 2,3DO,3DO,2001-03-23NA,Unreleased,Released,Released
189,Army Men: Green Rogue,3DO,3DO,2001-03-25NA,Unreleased,Released,Released
190,Army Men: Major Malfunction,Global Star Software,Global Star Software,2006-08-04PAL,Unreleased,Released,Unreleased
191,Army Men: RTS,Pandemic Studios,"3DONA,EU, CapcomJP",2002-03-27NA,Released,Released,Released
192,Army Men: Sarge's Heroes 2,3DO,"3DONA, MidasEU",2001-01-03EU,Unreleased,Released,Released
193,Army Men: Sarge's War,Tactical Development,Global Star Software,2004-07-23PAL,Unreleased,Released,Unreleased
194,Army Men: Soldiers of Misfortune,Big Blue Bubble,DSI Games,2008-11-04NA,Unreleased,Unreleased,Released
195,Art of Fighting Anthology,SNK Playmore,"SNK Playmore, Crave EntertainmentEU",2005-11-06JP,Released,Released,Released
196,Arthur and the Invisibles: The Game,Etranges Libellules,Atari,2007-01-09NA,Unreleased,Released,Released
197,Ashita no Joe: Masshiro ni Moe Tsukiro!,Konami,Konami,2003-12-04JP,Released,Unreleased,Unreleased
198,Ashita no Joe 2: The Anime Super Remix,Capcom,Capcom,2002-06-20JP,Released,Unreleased,Unreleased
199,Ashita no Joe Touchi: Typing Namida Hashi,Dual,SunSoft,2001-03-29JP,Released,Unreleased,Unreleased
200,Asobi ni Iku Yo!,Design Factory,Idea Factory,2006-07-27JP,Released,Unreleased,Unreleased
201,Assault Suits Valken,Psikyo,"NCSJP, X-NautsKO, 505 Game StreetEU",2004-08-26JP,Released,Released,Unreleased
202,Asterix & Obelix: Kick Buttix,Etranges Libellules,Atari Europe,2004-03-19EU,Unreleased,Released,Released
203,Asterix & Obelix XXL 2: Mission: Las Vegum,Etranges Libellules,Atari Europe,2006-06-30EU,Unreleased,Released,Unreleased
204,Asterix at the Olympic Games,Etranges Libellules,Atari Europe,2008-02-28AU,Unreleased,Released,Unreleased
205,Astro Boy,Sonic Team,Sega,2004-03-18JP,Released,Released,Released
206,Astro Boy: The Video Game,High Voltage Software,D3 Publisher,2009-10-20NA,Unreleased,Released,Released
207,Astro Kyuudan: Kessen!! Victory Kyuudanhen,Sunrise Interactive,Sunrise Interactive,2005-11-23JP,Released,Unreleased,Unreleased
208,Atari Anthology,Digital Eclipse,Atari,2004-11-22NA,Unreleased,Released,Released
209,Atelier Iris: Eternal Mana,Gust,"GustJP, NIS AmericaNA, KoeiEU, THQAU",2004-05-27JP,Released,Released,Released
210,Atelier Iris 2: The Azoth of Destiny,Gust,"GustJP, NIS AmericaNA, KoeiEU, THQAU",2005-05-26JP,Released,Released,Released
211,Atelier Iris 3: Grand Phantasm,Gust,"GustJP, NIS AmericaNA, KoeiEU, THQAU",2006-06-29JP,Released,Released,Released
212,Atelier Marie + Elie,Gust,Gust,2005-10-27JP,Released,Unreleased,Unreleased
213,Athens 2004,Eurocom Entertainment Software,Sony Computer Entertainment,2004-07-02EU,Released,Released,Released
214,Atlantis III: The New World,Cryo Interactive,Cryo Interactive,2002-02-08EU,Unreleased,Released,Unreleased
215,A-Train 6,Artdink,"ArtdinkJP, Midas Interactive EntertainmentEU",2000-03-04JP,Released,Released,Unreleased
216,ATV Offroad Fury,Rainbow Studios,Sony Computer Entertainment,2001-02-05NA,Unreleased,Released,Released
217,ATV Offroad Fury 2,Rainbow Studios,Sony Computer Entertainment,2002-11-09NA,Unreleased,Released,Released
218,ATV Offroad Fury 3,Climax Group,"Sony Computer EntertainmentNA, SouthPeak GamesEU",2004-11-02NA,Unreleased,Released,Released
219,ATV Offroad Fury 4,Climax Group,Sony Computer Entertainment,2006-10-31NA,Unreleased,Released,Released
220,ATV Quad Power Racing 2,Climax Brighton,AKA Acclaim,2003-01-13NA,Unreleased,Released,Released
221,Austin Mini Racing,Data Design Interactive,Metro3D Europe,2006-03-17EU,Unreleased,Released,Unreleased
222,Australian Idol Sing,Milestone,Black Bean Games,2006-09-19AU,Unreleased,Released,Unreleased
223,Auto Modellista,Capcom,Capcom,2002-08-22JP,Released,Released,Released
224,Autobahn Raser IV,Davilex,Davilex,2002-12-31EU,Unreleased,Released,Unreleased
225,Autobahn Raser: Das Spiel zum Film,Davilex,Davilex,2004-04-29EU,Unreleased,Released,Unreleased
226,Avatar: The Last Airbender,THQ Studio Australia,THQ,2006-10-10NA,Unreleased,Released,Released
227,Avatar: The Last Airbender,THQ Studio Australia,THQ,2007-10-16NA,Unreleased,Released,Released
228,Avatar: The Last Airbender,THQ Studio Australia,THQ,2008-10-13NA,Unreleased,Released,Released
229,Ayakashibito,Dimple Entertainment,Dimple Entertainment,2006-08-31JP,Released,Unreleased,Unreleased
230,Azumi,Gargoyle Mechanics,"ESP Software, D3 Publisher",2005-03-24JP,Released,Unreleased,Unreleased
231,Azur & Asmar,Wizarbox,Emme,2007-04-26PAL,Unreleased,Released,Unreleased
232,B-Boy,FreeStyleGames,"Evolved GamesNA, Sony Computer EntertainmentPAL",2006-09-29EU,Unreleased,Released,Released
233,Babe,Aqua Pacific,Blast! Entertainment Ltd,2006-10-13PAL,Unreleased,Released,Unreleased
234,Backyard Baseball,Humongous Entertainment,Atari,2004-03-23NA,Unreleased,Unreleased,Released
235,Backyard Baseball '09,Humongous Entertainment,Atari,2008-06-10NA,Unreleased,Unreleased,Released
236,Backyard Baseball '10,Farsight Studios,Atari,2009-04-28NA,Unreleased,Unreleased,Released
237,Backyard Basketball,Humongous Entertainment,Atari,2003-10-21NA,Unreleased,Released,Released
238,Backyard Football '08,FarSight Technologies,Atari,2007-10-16NA,Unreleased,Unreleased,Released
239,Backyard Football '09,FarSight Technologies,Atari,2008-10-21NA,Unreleased,Unreleased,Released
240,Backyard Football '10,FarSight Technologies,Atari,2009-10-20NA,Unreleased,Unreleased,Released
241,Backyard Football 2006,Humongous Entertainment,Atari,2005-10-04NA,Unreleased,Unreleased,Released
242,Backyard Sports: Baseball 2007,Game Brains,Atari,2006-09-05NA,Unreleased,Unreleased,Released
243,Backyard Sports: Basketball 2007,Game Brains,Atari,2007-02-13NA,Unreleased,Unreleased,Released
244,Backyard Wrestling: Don't Try This at Home,Paradox Development,Eidos Interactive,2003-10-07NA,Released,Released,Released
245,Backyard Wrestling 2: There Goes the Neighborhood,Paradox Development,Eidos Interactive,2004-11-16NA,Released,Released,Released
246,Bad Boys: Miami Takedown,Blitz Games,"Empire InteractiveEU, Crave EntertainmentNA",2004-02EU,Unreleased,Released,Released
247,Bakufuu Slash! Kizna Arashi,Sony Computer Entertainment,Sony Computer Entertainment,2004-11-03JP,Released,Unreleased,Unreleased
248,Bakugan Battle Brawlers,Now Production,Activision,2009-10-20NA,Unreleased,Released,Released
249,Bakumatsu Renka: Karyuu Kenshiden,Vridge,D3 Publisher,2007-10-04JP,Released,Unreleased,Unreleased
250,Bakumatsu Renka: Shinsengumi,Vridge,D3 Publisher,2004-12-22JP,Released,Unreleased,Unreleased
251,Bakumatsu Rouman: Gekka no Kenshi 1-2,SNK Playmore,SNK Playmore,2006-01-12JP,Released,Unreleased,Unreleased
252,Bakushou! Jinsei Kaidou,Taito,Taito,2004-03-18JP,Released,Unreleased,Unreleased
253,Bakusou Dekotora Densetsu: Otoko Hanamichi Yume Roman,Dual,Spike,2003-01-23JP,Released,Unreleased,Unreleased
254,Baldr Bullet: Equilibrium,TGL,Alchemist,2007-10-25JP,Released,Unreleased,Unreleased
255,Baldr Force EXE,HuneX,Alchemist,2005-04-07JP,Released,Unreleased,Unreleased
